Date,Ad set name,Ad name,Campaign name,Impressions,Cost,Website purchases,Cost per website purchase,CPC (cost per link click),CTR (link click-through rate),Signup,Registration,Unique purchases,Unique adds to cart,Website leads,Unique link clicks,Unique mobile app adds of payment info,Conversion rate ranking,Post shares,Return on ad spend (ROAS),Unique completed registrations,Post comments
2020-08-02,customers-ll-1pc_all-placements,table-for-two-1:1_video,pollenary_1-cold_wc-registration_uk-ll-1pc-25-44,39515,370.46,,,4.12,0.23,2,4,,,,85,,0,,0,,1
2020-08-02,customers-ll-1pc_all-placements,table-for-two-1:1_video,pollenary_1-cold_wc-registration_uk-ll-1pc-45-54__archived,3487,55.15,,,3.94,0.4,,,,,,13,,0,,0,,
2020-08-02,customers-ll-1pc_all-placements,vid-onhold-1:1,pollenary_1-cold_wc-registration_uk-ll-1pc-25-44,4331,36.88,,,4.1,0.21,,1,,,,9,,0,,0,,
2020-08-02,customers-ll-1pc_all-placements,vid-onhold-1:1,pollenary_1-cold_wc-registration_uk-ll-1pc-45-54__archived,307,3.79,,,3.79,0.33,,,,,,1,,0,,0,,
2020-08-02,ebay-25-54_all-placements,bread-4:5_video,pollenary_0-incubator-audience_wc-registration_uk,6370,38.83,,,0.79,0.77,,,,,,48,,0,2,0,,1
2020-08-02,ebay-25-54_all-placements,table-for-two-1:1_video,pollenary_0-incubator-audience_wc-registration_uk,20750,144.16,,,4.24,0.16,,5,,,,34,,0,,0,,1
2020-08-02,ebay-25-54_all-placements,vid-onhold-1:1,pollenary_0-incubator-audience_wc-registration_uk,1443,10.03,,,3.34,0.21,,1,,,,3,,0,,0,,
2020-08-02,food-subscription-25-54_all-placements,bread-4:5_video,pollenary_0-incubator-audience_wc-registration_uk,2098,13.45,,,1.22,0.52,,,,,,11,,0,,0,,
2020-08-02,food-subscription-25-54_all-placements,table-for-two-1:1_video,pollenary_0-incubator-audience_wc-registration_uk,3003,30.11,,,7.53,0.13,,,,,,4,,0,,0,,
2020-08-02,food-subscription-25-54_all-placements,vid-onhold-1:1,pollenary_0-incubator-audience_wc-registration_uk,7263,56.25,,,4.69,0.17,,,,,,12,,0,,0,,
2020-08-02,life-insurance-25-44_all-placements,bread-4:5_video,pollenary_1-cold_wc-registration_uk-interests,1329,8.02,,,0.73,0.83,,,,,,10,,0,,0,,
2020-08-02,life-insurance-25-44_all-placements,bread-4:5_video,pollenary_1-cold_wc-suits-happy_uk-interests,3853,24.59,,,1.23,0.52,,,,,,19,,0,,0,,
2020-08-02,life-insurance-25-44_all-placements,table-for-two-1:1_video,pollenary_1-cold_wc-registration_uk-interests,1009,7.62,,,1.52,0.5,,,,,,5,,0,,0,,
2020-08-02,life-insurance-25-44_all-placements,table-for-two-1:1_video,pollenary_1-cold_wc-suits-happy_uk-interests,6716,40.79,,,2.72,0.22,,,,,,15,,0,,0,,1
2020-08-02,life-insurance-25-44_all-placements,vid-onhold-1:1,pollenary_1-cold_wc-registration_uk-interests,1264,6.38,,,1.28,0.4,,,,,,4,,0,,0,,
2020-08-02,life-insurance-25-44_all-placements,vid-onhold-1:1,pollenary_1-cold_wc-suits-happy_uk-interests,2109,10.97,1.00,10.97,3.66,0.14,,1,,,,3,,0,,77.39,,
2020-08-02,life-insurance-25-44_all-placements,vid-tv-zoom-subtitled-1:1,pollenary_1-cold_wc-registration_uk-interests,2833,16.42,,,2.74,0.21,,,,,,6,,0,,0,,1
2020-08-02,life-insurance-25-44_all-placements,vid-tv-zoom-subtitled-1:1,pollenary_1-cold_wc-suits-happy_uk-interests,7661,46.64,,,1.79,0.34,,,,,,26,,0,,0,,
2020-08-02,money-comparison-25-54_all-placements,bread-4:5_video,pollenary_0-incubator-audience_wc-registration_uk,7465,44.43,1.00,44.43,1.59,0.38,,1,,,,27,,0,1,10.65,,
2020-08-02,money-comparison-25-54_all-placements,table-for-two-1:1_video,pollenary_0-incubator-audience_wc-registration_uk,19491,137.14,,,2.98,0.24,1,2,,,,46,,0,,0,,
2020-08-02,money-comparison-25-54_all-placements,vid-onhold-1:1,pollenary_0-incubator-audience_wc-registration_uk,2046,10.76,,,2.69,0.2,,,,,,3,,0,1,0,,
2020-08-02,online-entertainment-25-54_all-placements,bread-4:5_video,pollenary_1-cold_wc-registration_uk-interests,9468,68.50,,,1.32,0.55,,,,,,51,,0,2,0,,2
2020-08-02,online-entertainment-25-54_all-placements,bread-4:5_video,pollenary_1-cold_wc-suits-happy_uk-interests,12488,88.12,,,1.17,0.6,,,,,,72,,0,,0,,1
2020-08-02,online-entertainment-25-54_all-placements,table-for-two-1:1_video,pollenary_1-cold_wc-registration_uk-interests,34822,253.43,,,3.13,0.23,,2,,,,81,,0,2,0,,2
2020-08-02,online-entertainment-25-54_all-placements,table-for-two-1:1_video,pollenary_1-cold_wc-suits-happy_uk-interests,13491,96.52,,,2.68,0.27,,2,,,,35,,0,3,0,,3
2020-08-02,online-entertainment-25-54_all-placements,vid-onhold-1:1,pollenary_1-cold_wc-registration_uk-interests,3559,27.74,,,3.47,0.22,,,,,,7,,0,,0,,1
2020-08-02,online-entertainment-25-54_all-placements,vid-onhold-1:1,pollenary_1-cold_wc-suits-happy_uk-interests,15669,106.71,,,2.81,0.24,,,,,,38,,0,2,0,,
2020-08-02,online-entertainment-25-54_all-placements,vid-tv-zoom-subtitled-1:1,pollenary_1-cold_wc-registration_uk-interests,5058,28.02,,,1.27,0.43,,,,,,22,,0,1,0,,
2020-08-02,transferwise-25-54_all-placements,bread-4:5_video,pollenary_0-incubator-audience_wc-registration_uk,2064,19.82,,,1.98,0.48,,1,,,,10,,0,,0,,
2020-08-02,transferwise-25-54_all-placements,table-for-two-1:1_video,pollenary_0-incubator-audience_wc-registration_uk,1831,18.11,,,2.59,0.38,,,,,,7,,0,,0,,
2020-08-02,transferwise-25-54_all-placements,vid-onhold-1:1,pollenary_0-incubator-audience_wc-registration_uk,7700,67.50,,,3.21,0.27,,,,,,21,,0,,0,,1
2020-08-02,visitors-1_all-placements,vid-onhold-original-1:1,pollenary_3-hot_wc-purchase_uk,940,32.40,,,2.95,1.17,,,,,,11,,0,,0,,
2020-08-02,visitors-1_all-placements,vid-trustpilot-charlotte-mickteltitles-V3-1:1,pollenary_3-hot_wc-purchase_uk,369,9.01,,,2.25,1.08,,,,,,4,,0,,0,,
2020-08-02,visitors-1_all-placements,vid-tv-zoom-subtitled-1:1,pollenary_3-hot_wc-purchase_uk,1456,52.57,,,3.29,1.1,1,2,,,,15,,0,,0,,
2020-08-02,visitors-2-7_all-placements,vid-onhold-original-1:1,pollenary_3-hot_wc-purchase_uk,2339,34.86,,,4.98,0.3,,,,,,7,,0,,0,,
2020-08-02,visitors-2-7_all-placements,vid-trustpilot-charlotte-mickteltitles-V3-1:1,pollenary_3-hot_wc-purchase_uk,869,12.36,,,1.24,1.15,,,,,,9,,0,,0,,
2020-08-02,visitors-2-7_all-placements,vid-tv-zoom-subtitled-1:1,pollenary_3-hot_wc-purchase_uk,3513,49.36,,,2.9,0.48,,1,,,,15,,0,,0,,1
2020-08-03,customers-ll-1pc_all-placements,bread-4:5_video,pollenary_1-cold_wc-registration_uk-ll-1pc-25-44,20887,189.75,,,2.53,0.36,1,3,,,,75,,0,3,0,,1
2020-08-03,customers-ll-1pc_all-placements,bread-4:5_video,pollenary_1-cold_wc-registration_uk-ll-1pc-45-54__archived,649,10.02,,,2,0.77,,,,,,5,,0,,0,,
2020-08-03,customers-ll-1pc_all-placements,table-for-two-1:1_video,pollenary_1-cold_wc-registration_uk-ll-1pc-25-44,36125,327.51,1.00,327.51,4.61,0.2,,5,,,,71,,0,2,2,,
2020-08-03,customers-ll-1pc_all-placements,table-for-two-1:1_video,pollenary_1-cold_wc-registration_uk-ll-1pc-45-54__archived,3719,49.45,,,3.09,0.43,,1,,,,16,,0,,0,,
2020-08-03,customers-ll-1pc_all-placements,vid-onhold-1:1,pollenary_1-cold_wc-registration_uk-ll-1pc-25-44,11651,81.34,1.00,81.34,3.87,0.18,,3,,,,20,,0,,3.1,,
2020-08-03,customers-ll-1pc_all-placements,vid-onhold-1:1,pollenary_1-cold_wc-registration_uk-ll-1pc-45-54__archived,771,8.53,,,4.27,0.26,,,,,,2,,0,,0,,
2020-08-03,ebay-25-54_all-placements,bread-4:5_video,pollenary_0-incubator-audience_wc-registration_uk,6556,39.62,,,2.2,0.27,,1,,,,17,,0,1,0,,
2020-08-03,ebay-25-54_all-placements,table-for-two-1:1_video,pollenary_0-incubator-audience_wc-registration_uk,19075,131.21,,,3.12,0.22,,5,,,,42,,0,2,0,,
2020-08-03,ebay-25-54_all-placements,vid-onhold-1:1,pollenary_0-incubator-audience_wc-registration_uk,4212,24.46,1.00,24.46,1.63,0.36,,2,,,,15,,0,1,82.71,,
2020-08-03,life-insurance-25-44_all-placements,bread-4:5_video,pollenary_1-cold_wc-registration_uk-interests,2062,12.52,,,0.66,0.92,,,,,,19,,0,,0,,1
2020-08-03,life-insurance-25-44_all-placements,bread-4:5_video,pollenary_1-cold_wc-suits-happy_uk-interests,1172,8.12,,,0.9,0.77,,,,,,9,,0,,0,,
2020-08-03,life-insurance-25-44_all-placements,table-for-two-1:1_video,pollenary_1-cold_wc-registration_uk-interests,2347,15.52,,,1.94,0.34,,,,,,8,,0,,0,,
2020-08-03,life-insurance-25-44_all-placements,table-for-two-1:1_video,pollenary_1-cold_wc-suits-happy_uk-interests,4016,23.82,,,2.38,0.25,,,,,,10,,0,,0,,
2020-08-03,life-insurance-25-44_all-placements,vid-onhold-1:1,pollenary_1-cold_wc-registration_uk-interests,4188,20.88,1.00,20.88,1.74,0.29,,1,,,,12,,0,1,44.49,,
2020-08-03,life-insurance-25-44_all-placements,vid-onhold-1:1,pollenary_1-cold_wc-suits-happy_uk-interests,886,5.24,,,1.05,0.56,,,,,,5,,0,,0,,
2020-08-03,life-insurance-25-44_all-placements,vid-tv-zoom-subtitled-1:1,pollenary_1-cold_wc-registration_uk-interests,1741,10.91,,,1.36,0.46,,,,,,8,,0,,0,,
2020-08-03,life-insurance-25-44_all-placements,vid-tv-zoom-subtitled-1:1,pollenary_1-cold_wc-suits-happy_uk-interests,462,2.79,,,0.4,1.52,,,,,,7,,0,,0,,
2020-08-03,money-comparison-25-54_all-placements,bread-4:5_video,pollenary_0-incubator-audience_wc-registration_uk,9276,59.14,,,2.27,0.28,,,,,,26,,0,1,0,,
2020-08-03,money-comparison-25-54_all-placements,table-for-two-1:1_video,pollenary_0-incubator-audience_wc-registration_uk,16750,115.64,,,3.5,0.2,,2,,,,32,,0,,0,,
2020-08-03,money-comparison-25-54_all-placements,vid-onhold-1:1,pollenary_0-incubator-audience_wc-registration_uk,4360,20.43,,,1.14,0.41,,1,,,,17,,0,,0,,
2020-08-03,online-entertainment-25-54_all-placements,bread-4:5_video,pollenary_1-cold_wc-registration_uk-interests,13321,93.84,,,1.56,0.45,,2,,,,59,,0,8,0,,8
2020-08-03,online-entertainment-25-54_all-placements,bread-4:5_video,pollenary_1-cold_wc-suits-happy_uk-interests,542,4.41,,,0.63,1.29,,,,,,5,,0,,0,,
2020-08-03,online-entertainment-25-54_all-placements,table-for-two-1:1_video,pollenary_1-cold_wc-registration_uk-interests,24508,187.04,,,3.12,0.24,,2,,,,57,,0,1,0,,1
2020-08-03,online-entertainment-25-54_all-placements,table-for-two-1:1_video,pollenary_1-cold_wc-suits-happy_uk-interests,3730,26.82,,,3.83,0.19,,,,,,7,,0,1,0,,
2020-08-03,online-entertainment-25-54_all-placements,vid-onhold-1:1,pollenary_1-cold_wc-registration_uk-interests,4005,27.72,,,3.08,0.22,,1,,,,9,,0,,0,,
2020-08-03,online-entertainment-25-54_all-placements,vid-onhold-1:1,pollenary_1-cold_wc-suits-happy_uk-interests,1459,9.24,,,9.24,0.07,,,,,,1,,0,,0,,
2020-08-03,online-entertainment-25-54_all-placements,vid-tv-zoom-subtitled-1:1,pollenary_1-cold_wc-registration_uk-interests,5426,38.12,,,2.12,0.33,,,,,,18,,0,,0,,
2020-08-03,visitors-1_all-placements,vid-onhold-original-1:1,pollenary_3-hot_wc-purchase_uk,750,27.13,,,3.01,1.2,,1,,,,9,,0,,0,,
2020-08-03,visitors-1_all-placements,vid-trustpilot-charlotte-mickteltitles-V3-1:1,pollenary_3-hot_wc-purchase_uk,445,13.91,,,4.64,0.67,,,,,,3,,0,,0,,
2020-08-03,visitors-1_all-placements,vid-tv-zoom-subtitled-1:1,pollenary_3-hot_wc-purchase_uk,1176,39.58,1.00,39.58,3.04,1.11,,4,,,,12,,0,,8.92,,
2020-08-03,visitors-2-7_all-placements,vid-onhold-original-1:1,pollenary_3-hot_wc-purchase_uk,2110,29.79,,,4.26,0.33,,1,,,,7,,0,,0,,1
2020-08-03,visitors-2-7_all-placements,vid-trustpilot-charlotte-mickteltitles-V3-1:1,pollenary_3-hot_wc-purchase_uk,963,12.44,,,1.78,0.73,,,,,,7,,0,,0,,
2020-08-03,visitors-2-7_all-placements,vid-tv-zoom-subtitled-1:1,pollenary_3-hot_wc-purchase_uk,3403,51.02,,,3.4,0.44,,1,,,,15,,0,,0,,
2020-08-04,customers-ll-1pc_all-placements,bread-4:5_video,pollenary_1-cold_wc-purchase-cc300_uk-mixed-25-44,796,4.90,,,4.9,0.13,,,,,,1,,0,,0,,
2020-08-04,customers-ll-1pc_all-placements,bread-4:5_video,pollenary_1-cold_wc-registration_uk-ll-1pc-25-44,40363,349.91,1.00,349.91,2.67,0.32,,6,,,,130,,0,3,0.54,,4
2020-08-04,customers-ll-1pc_all-placements,bread-4:5_video,pollenary_1-cold_wc-registration_uk-ll-1pc-45-54__archived,128,1.91,,,0.64,2.34,,,,,,2,,0,,0,,
2020-08-04,customers-ll-1pc_all-placements,table-for-two-1:1_video,pollenary_1-cold_wc-purchase-cc300_uk-mixed-25-44,843,7.55,1.00,7.55,3.78,0.24,,1,,,,2,,0,,75.1,,1
2020-08-04,customers-ll-1pc_all-placements,table-for-two-1:1_video,pollenary_1-cold_wc-registration_uk-ll-1pc-25-44,27661,269.29,,,5.08,0.19,,3,,,,53,,0,2,0,,1
2020-08-04,customers-ll-1pc_all-placements,table-for-two-1:1_video,pollenary_1-cold_wc-registration_uk-ll-1pc-45-54__archived,743,12.57,,,4.19,0.4,,,,,,3,,0,,0,,
2020-08-04,customers-ll-1pc_all-placements,vid-onhold-1:1,pollenary_1-cold_wc-purchase-cc300_uk-mixed-25-44,49,0.18,,,,0,,,,,,,,0,,0,,
2020-08-04,customers-ll-1pc_all-placements,vid-onhold-1:1,pollenary_1-cold_wc-registration_uk-ll-1pc-25-44,19117,139.50,,,3.32,0.22,,3,,,,42,,0,1,0,,1
2020-08-04,customers-ll-1pc_all-placements,vid-onhold-1:1,pollenary_1-cold_wc-registration_uk-ll-1pc-45-54__archived,185,2.38,,,,0,,,,,,,,0,,0,,
2020-08-04,customers-ll-1pc_all-placements,vid-tv-zoom-subtitled-1:1,pollenary_1-cold_wc-purchase-cc300_uk-mixed-25-44,396,2.24,,,,0,,,,,,,,0,,0,,
2020-08-04,customers-ll-1pc_all-placements,vid-zoom-icecream-V2-1:1,pollenary_1-cold_wc-purchase-cc300_uk-mixed-25-44,47,0.20,,,,0,,,,,,,,0,,0,,
2020-08-04,customers-ll-1pc_all-placements,vid-zoom-icecream-V2-1:1,pollenary_1-cold_wc-registration_uk-ll-1pc-25-44,8590,59.75,,,3.32,0.21,,,,,,18,,0,1,0,,
2020-08-04,ebay-25-54_all-placements,bread-4:5_video,pollenary_0-incubator-audience_wc-registration_uk,8175,48.96,,,1.63,0.37,1,3,,,,28,,0,4,0,,2
2020-08-04,ebay-25-54_all-placements,table-for-two-1:1_video,pollenary_0-incubator-audience_wc-registration_uk,13990,99.62,,,4.15,0.17,,1,,,,24,,0,2,0,,1
2020-08-04,ebay-25-54_all-placements,vid-onhold-1:1,pollenary_0-incubator-audience_wc-registration_uk,8268,46.88,,,3.35,0.17,1,1,,,,14,,0,,0,,
2020-08-04,life-insurance-25-44_all-placements,bread-4:5_video,pollenary_1-cold_wc-registration_uk-interests,867,5.23,,,0.75,0.81,,,,,1,6,,0,,0,,
2020-08-04,life-insurance-25-44_all-placements,table-for-two-1:1_video,pollenary_1-cold_wc-registration_uk-interests,2729,16.92,,,1,0.62,,,,,,17,,0,,0,,
2020-08-04,life-insurance-25-44_all-placements,vid-onhold-1:1,pollenary_1-cold_wc-registration_uk-interests,2994,17.19,,,3.44,0.17,,1,,,,5,,0,,0,,
2020-08-04,life-insurance-25-44_all-placements,vid-tv-zoom-subtitled-1:1,pollenary_1-cold_wc-registration_uk-interests,1536,10.68,,,0.97,0.72,,1,,,,10,,0,,0,,
2020-08-04,life-insurance-25-44_all-placements,vid-zoom-icecream-V2-1:1,pollenary_1-cold_wc-registration_uk-interests,771,4.10,,,,0,,,,,,,,0,,0,,
2020-08-04,money-comparison-25-54_all-placements,bread-4:5_video,pollenary_0-incubator-audience_wc-registration_uk,8560,51.22,,,2.7,0.22,,2,,,,19,,0,1,0,,
2020-08-04,money-comparison-25-54_all-placements,table-for-two-1:1_video,pollenary_0-incubator-audience_wc-registration_uk,13420,95.09,,,3.07,0.23,,1,,,,31,,0,,0,,
2020-08-04,money-comparison-25-54_all-placements,vid-onhold-1:1,pollenary_0-incubator-audience_wc-registration_uk,10065,49.01,,,2.88,0.17,,,,,,17,,0,,0,,2
2020-08-04,online-entertainment-25-54_all-placements,bread-4:5_video,pollenary_1-cold_wc-registration_uk-interests,12823,87.94,1.00,87.94,1.79,0.38,,2,,,,45,,0,7,5.12,,3
2020-08-04,online-entertainment-25-54_all-placements,table-for-two-1:1_video,pollenary_1-cold_wc-registration_uk-interests,13789,111.38,,,4.13,0.2,,2,,,,26,,0,,0,,2
2020-08-04,online-entertainment-25-54_all-placements,vid-onhold-1:1,pollenary_1-cold_wc-registration_uk-interests,4201,27.85,,,3.48,0.19,,,,,,8,,0,,0,,1
2020-08-04,online-entertainment-25-54_all-placements,vid-tv-zoom-subtitled-1:1,pollenary_1-cold_wc-registration_uk-interests,10915,64.38,,,1.53,0.38,1,2,,,,39,,0,2,0,,
2020-08-04,online-entertainment-25-54_all-placements,vid-zoom-icecream-V2-1:1,pollenary_1-cold_wc-registration_uk-interests,2483,14.65,,,1.33,0.44,,,,,,11,,0,,0,,
2020-08-04,stacked-interests-25-54_all-placements,bread-4:5_video,pollenary_1-cold_wc-purchase-cc300_uk-mixed-25-44,4038,20.39,,,0.93,0.54,,,,,,21,,0,,0,,
2020-08-04,stacked-interests-25-54_all-placements,table-for-two-1:1_video,pollenary_1-cold_wc-purchase-cc300_uk-mixed-25-44,2266,12.48,,,2.08,0.26,,,,,,6,,0,,0,,
2020-08-04,stacked-interests-25-54_all-placements,vid-onhold-1:1,pollenary_1-cold_wc-purchase-cc300_uk-mixed-25-44,1856,5.55,,,2.78,0.11,,,,,,2,,0,1,0,,
2020-08-04,stacked-interests-25-54_all-placements,vid-tv-zoom-subtitled-1:1,pollenary_1-cold_wc-purchase-cc300_uk-mixed-25-44,13954,61.56,,,1.87,0.24,,2,,,,32,,0,,0,,
2020-08-04,stacked-interests-25-54_all-placements,vid-zoom-icecream-V2-1:1,pollenary_1-cold_wc-purchase-cc300_uk-mixed-25-44,3232,13.79,,,1.97,0.22,,,,,,7,,0,,0,,
2020-08-04,visitors-1_all-placements,vid-onhold-original-1:1,pollenary_3-hot_wc-purchase_uk,654,25.49,1.00,25.49,4.25,0.92,,,,,,6,,0,,47.82,,
2020-08-04,visitors-1_all-placements,vid-trustpilot-charlotte-mickteltitles-V3-1:1,pollenary_3-hot_wc-purchase_uk,394,15.30,,,5.1,0.76,,1,,,,3,,0,,0,,
2020-08-04,visitors-1_all-placements,vid-tv-zoom-subtitled-1:1,pollenary_3-hot_wc-purchase_uk,1189,43.32,2.00,21.66,7.22,0.5,,,,,,6,,0,,110.25,,
2020-08-04,visitors-2-7_all-placements,vid-onhold-original-1:1,pollenary_3-hot_wc-purchase_uk,2129,29.74,,,2.48,0.56,,,,,,12,,0,,0,,
