"customer_id","gender","age","likes_wine","likes_beer","likes_spirits","income","digital","social_media_usage","number_of_children","alcohol_connoisseur","premium_member","alcohol_units_per_week","hobby_travel","hobby_watch_sports","hobby_foodie"
"ZQ00049368","M",73,1,1,0,"£30-45K",5,"low",1,1,0,11,0,1,1
"BQ00046157","M",62,1,0,1,"£75K+",1,"med",2,1,0,5,0,1,0
"ZQ00055113","F",65,0,1,0,"£15-30K",5,"med",0,0,0,9,0,1,1
"PQ00078756","U",37,0,0,0,"£15-30K",4,"low",4,1,0,10,0,1,1
"AQ00054184","M",19,1,0,0,"£15-30K",1,"med",1,1,0,7,0,1,0
"AQ00083326","M",65,1,1,0,"£30-45K",2,"med",1,1,0,1,0,0,0
"PQ00081261","M",63,1,0,1,"£30-45K",1,"med",1,0,0,12,1,0,1
"PQ00025348","M",20,1,0,0,"£15-30K",1,"high",0,0,0,1,0,1,0
"ZQ00074668","M",39,1,1,0,"£30-45K",2,"low",1,1,0,4,1,1,1
"AQ00090547","M",50,0,0,0,"£30-45K",2,"low",2,0,0,8,1,1,0
"ZQ00038827","F",47,1,0,1,"£30-45K",1,"low",1,0,0,10,0,0,1
"BQ00059673","F",42,1,0,0,"£15-30K",3,"low",0,1,0,5,0,1,0
"AQ00073748","M",42,0,0,0,"£45-75K",2,"low",1,0,0,9,0,0,1
"XQ00081922","M",45,1,0,0,"<£15K",2,"low",2,1,0,6,0,1,0
"BQ000818","M",40,0,1,0,"£15-30K",4,"low",2,0,0,7,0,0,0
"ZQ0006459","F",49,0,1,0,"<£15K",3,"low",1,0,1,18,0,1,0
"BQ00010430","F",39,0,0,0,"£30-45K",4,"low",0,0,0,8,0,0,0
"PQ00077804","M",19,0,0,1,"<£15K",1,"high",0,0,0,0,0,1,0
"AQ00020927","F",64,0,0,0,"£30-45K",1,"med",0,0,1,10,1,1,1
"ZQ00073466","F",44,1,0,0,"£30-45K",3,"low",0,1,1,9,0,0,0
"ZQ00057923","M",73,0,0,0,"£15-30K",3,"low",0,1,0,6,0,1,0
"XQ00071414","M",64,1,1,1,"£75K+",2,"high",2,1,0,9,1,0,1
"ZQ00022545","M",66,0,0,0,"£30-45K",3,"low",2,0,0,3,0,1,1
"PQ00030998","M",66,0,0,1,"<£15K",4,"low",1,0,0,4,0,1,0
"XQ00012337","M",47,1,0,1,"£45-75K",3,"high",0,0,0,8,0,1,1
"PQ00040901","M",65,0,0,0,"£15-30K",1,"low",1,1,0,15,0,1,1
"XQ00024627","F",44,0,1,0,"£45-75K",1,"low",0,0,0,6,0,1,1
"BQ0005072","M",47,0,1,0,"£45-75K",3,"low",3,0,1,14,0,1,1
"BQ00082140","M",69,0,0,1,"£15-30K",2,"med",0,1,0,8,0,0,1
"XQ00052588","M",66,1,0,1,"<£15K",4,"med",2,0,0,6,0,1,1
"BQ00044314","M",38,0,0,0,"£45-75K",1,"med",4,1,0,10,0,1,1
"XQ00096047","M",50,0,0,0,"£15-30K",2,"low",2,1,0,5,0,1,0
"AQ00041160","M",60,0,1,1,"£15-30K",1,"high",0,0,1,12,1,1,0
"PQ00071914","M",61,1,0,0,"£15-30K",3,"high",0,0,0,13,0,0,1
"BQ00090932","F",48,1,0,1,"£15-30K",3,"med",3,1,0,8,0,0,0
"ZQ00027416","F",63,0,0,1,"£30-45K",1,"med",0,0,1,10,0,0,0
"AQ00041541","F",42,0,0,1,"£15-30K",1,"high",0,0,0,6,0,1,0
"ZQ00047118","F",64,0,0,0,"£30-45K",3,"low",3,0,0,4,1,0,1
"AQ00040706","F",18,0,0,0,"<£15K",1,"low",1,0,0,6,0,1,0
"XQ00098907","M",43,0,0,1,"£15-30K",2,"low",3,0,0,14,0,1,0
"AQ00049901","M",44,1,0,0,"£45-75K",2,"high",1,0,0,12,0,0,1
"XQ00085410","M",46,0,0,1,"£45-75K",4,"high",2,0,0,9,0,1,0
"ZQ00098990","M",72,0,0,0,"<£15K",4,"low",3,1,0,19,1,1,0
"PQ00054642","F",20,0,0,0,"<£15K",1,"high",1,0,0,12,0,1,0
"BQ00059271","M",41,0,0,1,"<£15K",1,"low",1,0,0,8,0,1,0
"AQ00089013","M",74,0,0,1,"<£15K",4,"low",2,0,0,3,0,1,0
"AQ00024237","M",58,1,0,0,"£75K+",3,"low",3,1,0,5,1,0,1
"ZQ00030054","M",35,1,0,0,"£30-45K",1,"low",2,1,0,14,0,0,0
"AQ00056104","F",35,1,0,1,"£15-30K",2,"low",1,0,0,11,0,1,0
"BQ0006148","F",71,1,0,1,"<£15K",4,"low",0,1,0,8,0,1,0
"XQ00075938","U",37,1,0,1,"£30-45K",1,"med",1,0,0,10,0,0,0
"PQ00099071","F",61,1,0,0,"£15-30K",3,"low",0,1,0,3,0,0,1
"PQ00074271","F",23,0,0,1,"£45-75K",3,"high",0,1,0,3,0,1,1
"BQ00069094","M",46,1,0,0,"£30-45K",3,"low",0,1,0,8,0,0,1
"AQ00051881","F",62,1,1,1,"£45-75K",1,"low",3,1,1,3,1,1,1
"ZQ00019636","M",48,0,0,1,"£15-30K",3,"low",2,0,0,7,0,1,0
"AQ00034701","F",70,0,0,1,"<£15K",4,"low",0,1,0,5,0,1,0
"BQ00081655","F",19,0,0,0,"£15-30K",1,"high",2,0,0,13,0,1,0
"XQ00012883","M",74,0,1,1,"£30-45K",5,"low",2,1,0,16,0,1,1
"BQ00063065","M",27,0,1,1,"£75K+",5,"low",0,1,1,7,1,0,0
"PQ00055625","U",63,0,1,0,"£30-45K",4,"med",3,1,1,23,0,1,0
"XQ00020303","F",18,0,0,0,"£15-30K",1,"med",0,0,0,3,0,1,0
"PQ00098998","M",73,0,1,0,"£15-30K",1,"low",0,0,0,9,0,1,0
"BQ0001263","M",22,0,0,0,"£15-30K",1,"high",0,0,1,8,0,1,0
"BQ00019683","M",67,0,0,0,"£15-30K",4,"low",0,0,1,25,0,1,0
"AQ00091422","F",48,1,1,1,"£30-45K",2,"med",3,1,0,9,0,0,0
"PQ00055157","M",38,0,0,0,"£75K+",2,"low",2,1,1,5,0,0,1
"AQ00032129","M",40,0,0,0,"£15-30K",3,"med",1,0,0,7,0,1,1
"PQ00065991","M",20,1,0,0,"£15-30K",1,"high",0,0,0,1,1,1,0
"PQ00086653","M",37,1,1,0,"£45-75K",1,"low",1,1,1,22,1,0,0
"XQ00046699","M",67,0,1,0,"£15-30K",1,"low",2,1,0,4,0,1,0
"PQ00033458","F",68,0,0,0,"<£15K",1,"low",2,1,0,5,0,1,1
"PQ00078207","M",49,1,0,0,"£30-45K",2,"med",1,0,0,7,1,0,0
"XQ00060548","M",37,1,0,0,"£15-30K",1,"med",1,0,0,8,0,1,1
"AQ00055143","F",66,0,0,1,"£45-75K",3,"low",1,0,0,11,0,0,0
"PQ00030048","M",36,1,1,1,"£30-45K",1,"med",3,1,0,3,0,1,1
"PQ00098804","M",72,1,1,0,"£15-30K",4,"low",1,1,0,3,0,0,0
"ZQ00079941","F",20,0,0,1,"£15-30K",1,"med",0,0,0,8,0,1,0
"ZQ00038139","M",71,0,1,0,"£15-30K",3,"med",4,0,0,5,0,1,0
"PQ00039081","F",42,0,0,0,"£45-75K",2,"low",2,0,0,11,0,0,1
"BQ00034795","M",67,0,0,1,"<£15K",5,"low",2,1,0,2,1,1,0
"AQ0006804","M",45,0,0,0,"<£15K",1,"low",1,1,0,5,0,1,1
"XQ00033924","M",19,0,0,0,"<£15K",1,"med",0,0,0,1,0,1,0
"BQ00028352","M",49,1,1,0,"£45-75K",2,"med",1,1,0,9,0,1,1
"XQ00094528","M",35,0,0,0,"£15-30K",2,"high",3,1,0,6,0,1,0
"PQ00062538","F",38,1,0,0,"£15-30K",1,"med",1,0,0,4,0,1,0
"AQ00076012","M",50,1,0,1,"£45-75K",3,"low",1,1,0,5,0,1,1
"PQ00022034","M",67,0,0,0,"<£15K",3,"low",3,0,0,8,0,0,0
"PQ00023063","M",42,1,1,0,"£15-30K",4,"low",0,0,0,9,0,1,0
"BQ00052063","F",45,1,0,1,"£15-30K",3,"high",0,1,1,9,0,1,0
"AQ0009268","M",43,0,1,0,"£15-30K",3,"high",2,0,0,14,0,0,0
"PQ0007305","M",41,0,0,1,"£15-30K",2,"low",0,1,0,12,1,1,0
"XQ00095184","M",66,1,0,0,"£45-75K",2,"low",0,0,0,12,0,0,1
"PQ0008893","F",39,0,0,1,"<£15K",4,"low",0,0,0,7,0,0,0
"PQ00031517","M",73,0,0,0,"£15-30K",3,"low",1,0,0,2,1,1,1
"AQ00068487","M",65,1,0,0,"£30-45K",5,"low",1,0,0,6,0,0,0
"BQ00030622","M",42,1,1,0,"£30-45K",1,"low",2,1,0,5,0,0,0
"ZQ00097207","F",38,1,1,0,"£15-30K",2,"low",1,0,1,15,0,0,0
"AQ00013438","M",61,0,0,1,"£15-30K",2,"med",0,0,0,4,1,0,0
"ZQ00033765","F",40,1,1,0,"£30-45K",1,"low",1,1,0,7,0,1,1
"XQ00044946","M",61,0,1,0,"£45-75K",4,"low",1,1,0,2,0,0,0
"XQ00087393","M",18,0,0,0,"<£15K",1,"low",0,0,0,2,1,0,0
"PQ00024895","M",32,0,0,0,"£30-45K",1,"med",0,0,1,14,0,1,0
"XQ00064495","M",50,0,0,1,"£45-75K",4,"low",0,0,0,11,0,1,1
"XQ00077748","M",50,0,1,0,"£45-75K",4,"low",2,0,0,11,0,0,1
"BQ00068789","M",73,1,0,1,"<£15K",3,"low",1,1,0,10,0,0,0
"BQ0005556","M",44,1,1,1,"£75K+",1,"low",1,0,0,4,1,1,1
"PQ00045763","M",60,1,0,0,"£30-45K",1,"high",4,1,1,12,0,0,0
"ZQ00088142","M",60,0,0,1,"£45-75K",2,"low",0,0,0,5,0,0,1
"PQ00038078","M",72,0,0,1,"£15-30K",3,"low",1,1,0,2,0,1,1
"ZQ00065822","M",74,0,0,0,"£15-30K",3,"high",2,0,0,10,1,0,0
"ZQ00049464","M",64,0,1,0,"£15-30K",3,"low",0,0,0,0,1,1,0
"ZQ00020856","F",40,1,0,0,"£15-30K",2,"low",0,0,1,19,0,1,0
"XQ00084372","F",41,1,0,0,"£45-75K",1,"med",1,1,0,10,0,1,0
"AQ00056895","M",74,0,0,0,"£15-30K",3,"low",3,1,0,3,0,1,1
"XQ00018352","M",43,1,0,0,"£30-45K",3,"low",4,1,0,5,0,1,0
"ZQ00042443","M",23,0,0,0,"£15-30K",1,"high",0,1,0,8,0,1,0
"PQ00079025","M",40,0,1,1,"£15-30K",3,"low",2,0,0,4,0,0,0
"ZQ00081637","M",60,1,0,0,"£75K+",2,"low",3,0,0,9,0,0,1
"ZQ00025726","M",62,0,0,1,"£75K+",3,"low",2,0,0,3,0,0,1
"PQ00031495","M",61,0,0,1,"<£15K",1,"low",1,0,0,8,1,0,1
"AQ00041058","F",49,0,1,0,"£30-45K",5,"med",4,1,0,13,0,1,0
"AQ00012582","M",35,0,0,0,"£45-75K",1,"low",1,0,0,4,1,0,0
"ZQ00078100","F",21,0,1,1,"<£15K",2,"high",1,0,0,9,0,1,0
"XQ00026474","M",50,1,0,1,"£30-45K",1,"low",1,1,1,1,0,0,1
"AQ00052112","M",36,1,1,1,"£30-45K",1,"low",1,0,0,10,0,1,0
"ZQ00058543","F",70,0,0,1,"£15-30K",2,"low",2,1,0,10,0,0,0
"AQ00092948","M",23,1,0,0,"<£15K",3,"high",0,0,1,5,0,1,0
"ZQ00035392","M",45,1,1,0,"£15-30K",1,"med",1,1,1,23,0,1,1
"BQ00093813","F",73,0,0,0,"£15-30K",5,"low",0,1,0,7,0,1,0
"PQ00062414","M",47,0,0,1,"£15-30K",3,"low",2,0,0,3,0,1,0
"XQ00095237","M",48,1,0,1,"£15-30K",1,"low",2,1,1,22,0,1,0
"BQ00063177","M",75,0,0,0,"£15-30K",2,"med",0,0,0,11,0,1,0
"BQ00017443","F",20,0,0,1,"<£15K",1,"high",0,1,0,7,0,0,0
"BQ00016305","M",67,0,1,1,"<£15K",4,"low",1,0,0,10,0,1,0
"ZQ00019158","M",49,1,0,1,"£75K+",2,"low",3,1,0,15,1,0,1
"AQ00024900","M",35,1,0,0,"£15-30K",1,"med",1,0,0,13,1,1,0
"AQ00051613","F",46,1,0,1,"£30-45K",2,"med",0,0,0,6,0,1,1
"ZQ00026745","M",44,1,0,0,"£30-45K",2,"med",0,0,0,13,1,1,0
"ZQ00096343","M",46,1,0,0,"£15-30K",1,"low",4,1,0,6,0,1,0
"ZQ00046712","M",18,0,0,0,"<£15K",1,"high",0,0,0,2,0,0,0
"PQ00095336","M",48,1,0,0,"<£15K",1,"low",1,0,1,28,0,1,0
"AQ00064792","M",39,0,0,1,"£30-45K",2,"low",4,1,0,10,0,0,1
"AQ00086531","F",38,0,0,0,"£15-30K",3,"high",2,1,0,5,0,1,0
"XQ00069194","M",21,0,0,1,"£15-30K",1,"high",0,0,0,7,0,1,0
"AQ00012928","M",66,0,0,1,"<£15K",3,"med",2,1,0,6,0,1,0
"ZQ00014768","F",48,0,0,0,"£15-30K",1,"med",2,0,0,7,0,1,0
"XQ00098160","F",57,0,0,0,"£15-30K",1,"high",2,1,0,5,0,0,0
"PQ00085617","M",29,1,0,1,"£15-30K",1,"high",1,0,1,7,0,1,0
"ZQ00058203","F",70,0,1,1,"£45-75K",4,"low",0,0,0,6,0,0,0
"PQ000357","F",64,0,0,0,"£30-45K",3,"low",2,1,0,11,1,1,0
"BQ00047207","M",42,0,1,0,"£45-75K",3,"low",0,0,1,14,0,0,0
"XQ0002191","M",68,0,0,0,"£30-45K",3,"med",1,1,0,11,0,1,0
"PQ00016389","F",74,1,1,1,"£30-45K",3,"low",0,0,0,8,1,0,1
"XQ00083209","M",67,1,1,0,"£15-30K",3,"low",1,1,0,9,0,1,0
"XQ00091067","M",38,1,1,0,"£15-30K",2,"low",4,1,0,11,0,0,0
"BQ000199","M",40,1,0,0,"£15-30K",2,"low",1,0,0,2,1,1,0
"BQ00073872","M",28,1,0,0,"<£15K",2,"med",0,1,0,7,0,0,0
"AQ00085608","F",54,1,1,0,"£30-45K",1,"low",4,1,0,6,0,1,0
"AQ00022336","M",50,0,1,1,"£30-45K",1,"low",0,0,1,10,0,0,1
"ZQ00064535","F",38,0,0,0,"£15-30K",3,"low",1,1,0,2,0,1,0
"BQ00017595","M",21,0,0,1,"£15-30K",1,"low",0,0,0,8,0,0,0
"AQ00039843","M",75,0,0,0,"£15-30K",5,"low",2,1,0,12,0,1,0
"PQ00054959","F",67,0,1,0,"£15-30K",2,"high",3,1,0,14,0,1,0
"BQ00027977","M",41,0,0,0,"£15-30K",1,"low",1,0,1,21,0,1,0
"PQ00037101","M",56,0,0,1,"£30-45K",1,"low",1,1,0,6,0,1,1
"AQ00030004","M",20,0,1,0,"<£15K",1,"high",3,0,0,5,0,1,0
"AQ00070761","M",62,0,1,1,"£15-30K",1,"high",1,0,1,13,0,1,0
"XQ00020877","M",50,0,0,0,"£30-45K",2,"low",3,0,0,4,0,0,1
"PQ00068648","M",29,0,0,0,"£45-75K",1,"low",0,1,1,17,0,1,0
"XQ00057393","M",20,0,0,1,"<£15K",1,"med",0,0,0,6,0,0,0
"ZQ00054648","M",47,0,1,1,"£75K+",2,"med",1,0,1,9,0,0,1
"PQ0005640","M",66,0,1,0,"£30-45K",2,"low",2,0,0,6,0,1,0
"XQ00040755","F",66,0,1,1,"£30-45K",3,"low",1,0,0,5,0,0,0
"BQ00034974","F",63,1,0,1,"£30-45K",1,"med",0,0,0,5,0,1,0
"AQ0004499","M",46,0,0,0,"£15-30K",2,"med",3,1,0,9,0,1,0
"BQ00016858","F",67,0,1,1,"£15-30K",3,"high",1,1,0,4,1,1,0
"PQ00047174","M",62,0,0,0,"£75K+",2,"low",2,1,1,17,0,0,1
"AQ0001463","M",37,0,0,0,"£30-45K",1,"low",3,0,1,16,0,1,1
"ZQ00097292","F",22,1,0,1,"£15-30K",1,"med",0,0,1,12,0,0,0
"BQ00057760","M",46,0,0,1,"£15-30K",2,"low",1,0,0,5,0,1,0
"BQ00069422","M",32,0,1,0,"£30-45K",4,"low",0,0,1,13,1,1,0
"ZQ00070738","M",74,0,0,0,"<£15K",2,"low",1,0,0,11,0,1,0
"XQ00086056","M",46,1,0,0,"£45-75K",1,"low",1,0,0,6,0,1,0
"PQ00029181","M",72,1,0,0,"<£15K",2,"low",1,0,0,6,0,1,1
"AQ00099966","M",69,0,0,1,"£75K+",3,"low",0,0,0,11,1,0,1
"ZQ00034479","F",67,0,1,1,"<£15K",2,"low",1,1,0,4,0,1,0
"XQ00032220","M",72,1,1,1,"£15-30K",2,"low",2,0,0,11,0,1,0
"PQ00091141","M",33,0,0,0,"<£15K",1,"high",1,1,1,15,0,1,0
"ZQ00046617","F",19,1,0,0,"£30-45K",1,"high",0,1,0,3,0,0,1
"AQ00047157","M",65,0,0,1,"<£15K",4,"med",2,0,0,9,0,1,0
"AQ00050032","F",18,0,0,0,"£30-45K",1,"high",0,0,0,7,0,1,0
"PQ00021470","M",73,0,1,0,"<£15K",3,"med",1,1,0,12,0,1,0
"XQ0007809","F",25,0,0,0,"£15-30K",2,"low",0,1,1,21,0,1,0
"PQ00086164","M",48,0,1,0,"£15-30K",1,"low",0,1,0,3,0,1,0
"PQ00078032","M",53,0,0,0,"£15-30K",4,"high",1,1,0,12,1,0,0
"AQ00074583","M",66,0,0,0,"£15-30K",5,"low",2,1,1,11,0,1,1
"BQ00059812","F",39,0,0,1,"£30-45K",1,"med",2,1,1,0,1,0,1
"ZQ00034879","M",64,1,1,1,"£30-45K",2,"low",0,0,0,11,0,0,0
"XQ00061048","M",52,0,0,1,"£15-30K",2,"med",0,1,0,8,0,1,1
"PQ00051643","F",45,0,0,1,"£75K+",3,"low",0,0,0,2,0,0,1
"PQ00055869","M",43,1,0,0,"£30-45K",2,"med",1,1,0,16,0,1,0
"AQ00025797","M",49,0,0,1,"£15-30K",1,"low",1,0,0,3,0,1,0
"PQ000842","M",19,0,1,1,"£15-30K",1,"low",0,0,0,6,0,0,0
"ZQ00040503","F",42,0,0,0,"<£15K",2,"low",4,1,0,8,1,1,0
"PQ00028565","U",67,0,1,1,"£15-30K",5,"med",2,1,0,3,0,1,0
"BQ00042291","F",70,1,1,0,"£15-30K",4,"med",0,1,0,7,0,1,0
"XQ00078235","M",63,0,0,0,"£45-75K",1,"med",0,0,0,3,0,1,1
"ZQ00025553","F",50,1,0,1,"£45-75K",3,"med",2,0,0,5,0,0,1
"XQ00077552","M",73,0,1,1,"<£15K",3,"med",0,0,0,6,0,1,0
"BQ0007963","M",18,0,0,0,"<£15K",1,"med",0,0,0,4,0,0,1
"AQ00094821","F",60,0,0,0,"£30-45K",1,"low",2,0,1,20,0,1,0
"AQ00090659","M",63,0,0,1,"£30-45K",2,"high",2,1,0,5,0,0,0
"BQ0008172","F",44,1,0,1,"£15-30K",3,"low",1,1,0,2,0,1,0
"PQ00064926","F",62,0,1,0,"£30-45K",5,"med",4,1,0,8,0,1,0
"PQ00032175","M",34,0,0,1,"£30-45K",2,"low",0,0,0,17,1,0,0
"BQ00026370","F",75,1,0,1,"<£15K",4,"low",4,0,0,3,0,1,0
"BQ00057491","M",66,0,0,0,"<£15K",2,"low",0,1,0,11,1,1,0
"AQ00060174","F",18,0,0,0,"<£15K",1,"med",3,0,1,7,0,0,0
"ZQ00052081","F",68,1,0,0,"<£15K",3,"med",2,0,0,2,0,1,1
"ZQ00088151","M",70,0,0,1,"<£15K",4,"med",1,1,0,4,0,0,1
"PQ00026452","M",69,0,1,0,"£15-30K",2,"low",4,0,0,5,0,0,0
"XQ00056094","F",36,0,1,1,"£15-30K",1,"low",3,1,0,11,0,1,0
"PQ00083510","M",49,0,0,0,"£15-30K",1,"low",1,0,1,26,0,1,0
"BQ00012274","U",44,0,0,0,"£15-30K",1,"med",1,1,0,6,0,1,0
"BQ00014669","M",68,0,0,0,"<£15K",3,"low",3,0,1,13,0,1,0
"ZQ00033985","M",36,1,0,1,"£75K+",3,"low",2,0,0,7,0,0,0
"BQ00074064","M",73,1,0,0,"£15-30K",3,"med",0,0,0,10,0,1,0
"BQ00062185","F",72,0,0,0,"£15-30K",2,"med",1,1,0,3,0,1,0
"BQ00077760","F",20,0,0,0,"£45-75K",1,"high",2,0,0,14,0,1,0
"XQ0006027","M",60,1,1,0,"£45-75K",1,"low",0,0,1,21,0,1,1
"AQ00089308","F",61,0,0,0,"£45-75K",1,"low",1,1,0,4,0,0,1
"AQ0004036","M",40,0,0,0,"£30-45K",1,"low",2,0,0,2,0,1,1
"BQ0002815","M",41,1,1,1,"£30-45K",5,"low",3,1,0,14,0,1,0
"ZQ00098130","F",44,0,0,0,"£30-45K",1,"med",2,0,0,5,1,1,1
"BQ00011153","F",29,0,0,1,"£15-30K",1,"med",0,1,1,10,0,1,0
"BQ00013563","F",67,0,0,1,"<£15K",3,"high",2,0,0,2,1,1,0
"AQ00024550","M",75,0,0,0,"£15-30K",5,"low",1,0,0,5,0,1,1
"ZQ0005344","M",41,1,0,0,"£45-75K",1,"med",4,0,1,11,0,1,0
"XQ00084072","F",29,0,1,1,"<£15K",3,"high",0,1,0,3,0,1,0
"ZQ00050059","F",70,0,0,0,"£15-30K",4,"high",4,1,1,18,0,1,0
"AQ00048441","M",38,0,1,0,"£30-45K",2,"high",2,1,0,7,0,0,0
"BQ00080821","F",48,1,0,1,"£75K+",3,"med",1,0,0,6,1,0,1
"ZQ00074593","M",36,1,0,0,"£45-75K",1,"high",1,0,0,7,0,1,1
"XQ00086724","M",69,0,0,0,"<£15K",4,"low",2,0,0,7,0,0,1
"BQ00081817","M",39,0,0,1,"£15-30K",1,"low",1,0,0,6,0,1,0
"AQ000500","M",19,0,1,1,"<£15K",1,"high",0,0,1,20,0,1,0
"AQ00023652","F",44,0,0,0,"£30-45K",3,"med",0,0,0,3,0,0,0
"PQ00087678","M",70,1,0,1,"£15-30K",4,"med",1,1,0,8,0,1,0
